Instrument Group,Counterparty,Currency,Available limit,DataDate
OTC Derivatives,Societe Generale,USD,"1,949,614",5/9/24
OTC Derivatives,Standard Chartered Bank,USD,"5,736,969",5/9/24
OTC Derivatives,Svenska Handelsbanken AB (publ),USD,"5,739,875",5/9/24
OTC Derivatives,The Hongkong and Shanghai Banking Corporation Limited,USD,"571,428",5/9/24
OTC Derivatives,The Royal Bank of Scotland plc,USD,"2,322,204",5/9/24
OTC Derivatives,The Toronto-Dominion Bank,USD,"6,245,679",5/9/24
OTC Derivatives,UBS AG,USD,"3,425,269",5/9/24
OTC Derivatives,Westpac Banking Corporation,USD,"5,576,180",5/9/24
Repos/Reverse Repos,Barclays Bank PLC,USD,"7,762,593",5/9/24
Repos/Reverse Repos,BNP Paribas,USD,"3,451,705",5/9/24
Repos/Reverse Repos,Citigroup Global Markets Inc.,USD,"10,284,947",5/9/24
Repos/Reverse Repos,Credit Suisse Securities (USA) LLC,USD,"7,167,753",5/9/24
Repos/Reverse Repos,Deutsche Bank Securities Inc.,USD,"4,999,245",5/9/24
Repos/Reverse Repos,Goldman Sachs & Co.,USD,"226,734",5/9/24
Repos/Reverse Repos,Goldman Sachs International,USD,"828,797",5/9/24
Repos/Reverse Repos,HSBC Bank plc,USD,"1,492,929",5/9/24
Repos/Reverse Repos,ING Bank N.V.,USD,"428,571",5/9/24
Repos/Reverse Repos,J.P. Morgan Securities LLC,USD,"3,978,140",5/9/24
Repos/Reverse Repos,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",USD,"480,836",5/9/24
Repos/Reverse Repos,Mitsubishi UFJ Securities International plc,USD,"422,028",5/9/24
Repos/Reverse Repos,Morgan Stanley & Co. International Plc,USD,"132,898",5/9/24
Repos/Reverse Repos,Morgan Stanley & Co. LLC,USD,"2,051,413",5/9/24
Repos/Reverse Repos,National Australia Bank Limited,USD,"4,285,714",5/9/24
Repos/Reverse Repos,Nomura International Plc,USD,"2,489,659",5/9/24
Repos/Reverse Repos,"RBC Capital Markets, LLC",USD,"741,423",5/9/24
Repos/Reverse Repos,Societe Generale,USD,"1,961,543",5/9/24
Repos/Reverse Repos,The Royal Bank of Scotland plc,USD,"418,129",5/9/24
Repos/Reverse Repos,UBS AG,USD,"7,145,353",5/9/24
Repos/Reverse Repos,UBS Securities LLC,USD,"7,145,353",5/9/24
Structured Finance Products,Barclays Capital Inc.,USD,"1,135,884",5/9/24
Structured Finance Products,BNP Paribas Securities Corp.,USD,"1,506,903",5/9/24
Structured Finance Products,Citigroup Global Markets Inc.,USD,"11,926,867",5/9/24
Structured Finance Products,Credit Suisse Securities (USA) LLC,USD,"265,456",5/9/24
Structured Finance Products,Deutsche Bank Securities Inc.,USD,"214,285",5/9/24
Structured Finance Products,Goldman Sachs & Co.,USD,"7,675,349",5/9/24
Structured Finance Products,J.P. Morgan Securities LLC,USD,"1,841,505",5/9/24
Structured Finance Products,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",USD,"392,902",5/9/24
Structured Finance Products,Morgan Stanley & Co. LLC,USD,"9,282,575",5/9/24
Structured Finance Products,Nomura Securities International Inc,USD,"1,428,571",5/9/24
Structured Finance Products,"RBC Capital Markets, LLC",USD,"150,617",5/9/24
